timestamp_utc,spy_price,five_minute_regime,fifteen_minute_trend,timeframe_match,enhanced_score,regime_score,contract_quality_pass,confidence,minimum_confidence,v12_ready,final_action,paper_only,order_submitted
2026-08-27T18:20:13.722312+00:00,770.27,DOWNTREND,BULLISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-27T18:23:27.609603+00:00,770.28,DOWNTREND,BULLISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-27T18:27:29.713860+00:00,769.84,DOWNTREND,BULLISH,False,1,1,False,0,75,False,NO TRADE,True,False
2026-08-27T18:30:27.171700+00:00,769.46,DOWNTREND,BULLISH,False,3,1,False,0,75,False,NO TRADE,True,False
2026-08-27T18:53:04.503522+00:00,769.52,DOWNTREND,BULLISH,False,2,1,False,0,75,False,NO TRADE,True,False
2026-08-27T18:54:46.155248+00:00,769.5,DOWNTREND,BULLISH,False,3,1,False,0,75,False,NO TRADE,True,False
2026-08-27T18:57:05.712724+00:00,769.34,DOWNTREND,BULLISH,False,2,1,False,0,75,False,NO TRADE,True,False
2026-08-27T18:59:41.849518+00:00,769.75,DOWNTREND,BULLISH,False,2,1,False,0,75,False,NO TRADE,True,False
2026-08-27T21:24:16.736908+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T21:25:22.401303+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T21:29:50.897655+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T21:30:49.478409+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T21:40:33.256287+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T21:47:08.150536+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T21:52:35.034157+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T21:55:00.672180+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
2026-08-27T22:04:11.894849+00:00,770.83,UPTREND,BULLISH,False,0,0,False,0,75,False,NO TRADE,True,False
