timestamp_utc,spy_price,final_action,confidence,v12_ready,daily_limit_pass,cooldown_pass,master_ready,ticket_status,execution_status,paper_execution_allowed,order_submitted
2026-08-27T18:23:27.610705+00:00,770.28,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T18:27:29.749682+00:00,769.84,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T18:30:27.204613+00:00,769.46,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T18:53:04.535760+00:00,769.52,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T18:54:46.195058+00:00,769.5,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T18:57:05.739557+00:00,769.34,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T18:59:41.886857+00:00,769.75,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:24:16.762800+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:25:22.433799+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:29:50.928456+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:30:49.511611+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:40:33.288095+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:47:08.177219+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:52:35.073651+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T21:55:00.706001+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
2026-08-27T22:04:11.925977+00:00,770.83,NO TRADE,0,False,True,True,False,BLOCKED,BLOCKED,False,False
