timestamp_utc,signal,final_action,confidence,trade_grade,blocker_count,paper_eligible,order_sent
2026-08-27T18:59:41.891019+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-27T21:24:16.766823+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T21:25:22.438216+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T21:29:50.932879+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T21:30:49.516204+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T21:40:33.292490+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T21:47:08.181575+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T21:52:35.078135+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T21:55:00.710419+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T22:04:11.930257+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-27T22:26:36.577217+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-28T00:45:15.603971+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-28T00:49:41.587545+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-28T00:54:26.085256+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-28T00:59:07.966325+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-28T01:05:46.403660+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-28T01:12:36.446645+00:00,NO TRADE,NO TRADE,0,REJECT,8,False,False
2026-08-28T16:47:07.028507+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T16:51:10.699159+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T16:54:08.647000+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T16:57:23.593143+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:00:45.657272+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:03:59.997972+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T17:07:00.458306+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:09:54.534192+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:13:44.380889+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:16:39.869508+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:21:47.600989+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:24:34.959585+00:00,BEARISH,BEARISH,75,B,1,False,False
2026-08-28T17:28:51.264185+00:00,BEARISH,BEARISH,50,B,2,False,False
2026-08-28T17:39:28.689540+00:00,BEARISH,BEARISH,50,B,2,False,False
2026-08-28T17:44:33.460781+00:00,BEARISH,BEARISH,50,B,2,False,False
2026-08-28T17:48:55.792767+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T17:53:44.679794+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T17:58:37.821666+00:00,BEARISH,BEARISH,50,C,3,False,False
2026-08-28T18:20:37.167087+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T18:23:56.131422+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T18:27:57.852154+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T18:31:41.067048+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T18:34:56.836261+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T18:39:45.431519+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T18:44:00.025020+00:00,BEARISH,BEARISH,50,B,2,False,False
2026-08-28T18:48:38.887128+00:00,NO TRADE,NO TRADE,0,REJECT,7,False,False
2026-08-28T18:53:15.708754+00:00,BEARISH,BEARISH,50,B,2,False,False
2026-08-28T19:51:22.650669+00:00,BULLISH,BULLISH,25,B,3,False,False
