trend,volatility,session,signals,up_rate,avg_return,directional_edge,preferred_direction
UPTREND,LOW_VOL,MORNING,53,30.18867924528302,-0.04668629670861384,19.81132075471698,BEARISH
UPTREND,LOW_VOL,MIDDAY,338,48.5207100591716,0.0015556092181933095,1.4792899408284015,BEARISH
UPTREND,LOW_VOL,AFTERNOON,262,54.58015267175572,0.012669048754955682,4.5801526717557195,BULLISH
UPTREND,HIGH_VOL,MORNING,380,58.15789473684211,0.029069598077549694,8.15789473684211,BULLISH
UPTREND,HIGH_VOL,MIDDAY,281,57.65124555160143,0.005083126765169133,7.651245551601427,BULLISH
UPTREND,HIGH_VOL,AFTERNOON,66,65.15151515151516,-0.04451137983438998,15.151515151515156,BULLISH
DOWNTREND,LOW_VOL,MORNING,31,32.25806451612903,-0.03108819781517382,17.741935483870968,BEARISH
DOWNTREND,LOW_VOL,MIDDAY,173,41.61849710982659,-0.030656512709638973,8.381502890173408,BEARISH
DOWNTREND,LOW_VOL,AFTERNOON,256,50.0,0.003095110131019459,0.0,BULLISH
DOWNTREND,HIGH_VOL,MORNING,235,38.297872340425535,-0.03310577993593776,11.702127659574465,BEARISH
DOWNTREND,HIGH_VOL,MIDDAY,329,56.23100303951368,0.038647538540920394,6.231003039513681,BULLISH
DOWNTREND,HIGH_VOL,AFTERNOON,111,35.13513513513514,-0.041590113054578166,14.864864864864863,BEARISH
CHOP,LOW_VOL,MIDDAY,71,36.61971830985916,-0.022329720969690953,13.38028169014084,BEARISH
CHOP,LOW_VOL,AFTERNOON,67,32.83582089552239,-0.006099487645463187,17.16417910447761,BEARISH
CHOP,HIGH_VOL,MORNING,42,54.761904761904766,-0.008622245630111682,4.761904761904766,BULLISH
CHOP,HIGH_VOL,MIDDAY,82,52.4390243902439,-0.031802947796398424,2.439024390243901,BULLISH
CHOP,HIGH_VOL,AFTERNOON,32,56.25,-0.0694510322524499,6.25,BULLISH
