timestamp_utc,spy_price,vwap,volume_ratio,enhanced_score,enhanced_ready,final_action,contract_status,paper_only,order_submitted
2026-08-27T18:15:13.054280+00:00,770.27,766.03,1.34,2,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:17:54.174697+00:00,770.15,766.04,0.46,1,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:20:13.712548+00:00,770.27,766.04,0.88,1,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:23:27.601071+00:00,770.28,766.04,0.4,1,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:27:29.706689+00:00,769.84,766.05,0.65,1,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:30:27.160339+00:00,769.46,766.07,2.1,3,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:53:04.490357+00:00,769.52,766.11,0.55,2,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:54:46.145413+00:00,769.5,766.11,1.41,3,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:57:05.702073+00:00,769.34,766.12,0.45,2,False,NO TRADE,BLOCKED,True,False
2026-08-27T18:59:41.837764+00:00,769.75,766.12,0.65,2,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:24:16.726514+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:25:22.389146+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:29:50.884766+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:30:49.467148+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:40:33.244250+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:47:08.139846+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:52:35.023647+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T21:55:00.663322+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T22:04:11.883201+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-27T22:26:36.527526+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-28T00:45:15.555299+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-28T00:49:41.538124+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-28T00:54:26.036451+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-28T00:59:07.915825+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-28T01:05:46.354846+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-28T01:12:36.397686+00:00,770.83,766.49,0.08,0,False,NO TRADE,BLOCKED,True,False
2026-08-28T16:47:06.987492+00:00,770.34,767.29,0.26,2,False,NO TRADE,BLOCKED,True,False
2026-08-28T16:51:10.657485+00:00,770.27,767.3,0.27,3,False,BEARISH,PASS,True,False
2026-08-28T16:54:08.598263+00:00,770.2,767.3,0.66,3,False,BEARISH,PASS,True,False
2026-08-28T16:57:23.543251+00:00,769.86,767.3,0.1,3,False,BEARISH,PASS,True,False
2026-08-28T17:00:45.607649+00:00,769.7,767.3,0.55,3,False,BEARISH,PASS,True,False
2026-08-28T17:03:59.964404+00:00,769.0,767.31,0.62,2,False,NO TRADE,BLOCKED,True,False
2026-08-28T17:07:00.415897+00:00,768.9,767.31,0.1,3,False,BEARISH,PASS,True,False
2026-08-28T17:09:54.484274+00:00,768.78,767.31,0.59,3,False,BEARISH,PASS,True,False
2026-08-28T17:13:44.332891+00:00,769.06,767.31,0.29,3,False,BEARISH,PASS,True,False
2026-08-28T17:16:39.824413+00:00,769.13,767.31,0.05,3,False,BEARISH,PASS,True,False
2026-08-28T17:21:47.559568+00:00,769.0,767.32,0.18,3,False,BEARISH,PASS,True,False
2026-08-28T17:24:34.911943+00:00,768.66,767.32,0.34,3,False,BEARISH,PASS,True,False
2026-08-28T17:28:51.213758+00:00,768.99,767.32,0.13,3,False,BEARISH,PASS,True,False
2026-08-28T17:39:28.648098+00:00,769.12,767.32,0.93,3,False,BEARISH,PASS,True,False
2026-08-28T17:44:33.410463+00:00,768.92,767.33,0.44,3,False,BEARISH,PASS,True,False
2026-08-28T17:48:55.749182+00:00,769.3,767.33,0.29,2,False,NO TRADE,BLOCKED,True,False
2026-08-28T17:53:44.640955+00:00,769.67,767.33,0.66,2,False,NO TRADE,BLOCKED,True,False
2026-08-28T17:58:37.770564+00:00,769.25,767.33,0.56,3,False,BEARISH,PASS,True,False
2026-08-28T18:20:37.114271+00:00,769.4,767.35,0.83,1,False,NO TRADE,BLOCKED,True,False
2026-08-28T18:23:56.082855+00:00,769.34,767.35,0.26,1,False,NO TRADE,BLOCKED,True,False
2026-08-28T18:27:57.810469+00:00,769.18,767.35,0.29,1,False,NO TRADE,BLOCKED,True,False
2026-08-28T18:31:41.018301+00:00,769.09,767.35,0.28,1,False,NO TRADE,BLOCKED,True,False
2026-08-28T18:34:56.788837+00:00,769.18,767.35,0.51,1,False,NO TRADE,BLOCKED,True,False
2026-08-28T18:39:45.383075+00:00,769.21,767.36,0.56,1,False,NO TRADE,BLOCKED,True,False
2026-08-28T18:43:59.977376+00:00,769.12,767.36,0.9,2,False,BEARISH,PASS,True,False
2026-08-28T18:48:38.837819+00:00,769.13,767.36,0.65,1,False,NO TRADE,BLOCKED,True,False
2026-08-28T18:53:15.659652+00:00,768.37,767.37,0.97,2,False,BEARISH,PASS,True,False
2026-08-28T19:51:22.601412+00:00,769.74,767.43,1.06,3,False,BULLISH,PASS,True,False
